# 英雄基础属性表
# Hero(英雄), Max HP(最大生命), Dodge(闪避), PROT(护甲), SPD(速度), ACC MOD(命中修正), CRIT(暴击), DMG(伤害), Stun Resist(眩晕抗性), Move Resist(移动抗性), Blight Resist(枯萎抗性), Bleed Resist(流血抗性), Disease Resist(疾病抗性), Debuff Resist(减益抗性), Trap Resist(陷阱抗性), Notes(说明)
Hero,Max HP,Dodge,PROT,SPD,ACC MOD,CRIT,DMG,Stun Resist,Move Resist,Blight Resist,Bleed Resist,Disease Resist,Debuff Resist,Trap Resist,Notes
Crusader,24,20,0%,7,0,5.0%,4-7,40%,40%,20%,30%,30%,30%,10%,重装宗教战士，擅长对付不洁之物
Plague Doctor,24,20,0%,7,0,5.0%,4-7,20%,20%,50%,20%,50%,50%,20%,瘟疫医生，精通毒素和治疗
Hellion,24,20,0%,7,0,5.0%,4-7,40%,40%,20%,40%,30%,30%,20%,野蛮战士，擅长流血和突进技能
Bounty Hunter,24,20,0%,7,0,5.0%,4-7,40%,40%,20%,30%,20%,30%,40%,赏金猎人，擅长标记和控制敌人
Grave Robber,24,20,0%,7,0,5.0%,4-7,20%,20%,50%,30%,30%,30%,50%,敏捷刺客，擅长暴击和闪避
Jester,24,20,0%,7,0,5.0%,4-7,30%,30%,20%,30%,20%,30%,20%,小丑英雄，擅长流血和增益技能
Abomination,26,15,0%,8,0,4.0%,5-8,40%,40%,40%,30%,40%,30%,20%,憎恶，可变身的诅咒战士
Antiquarian,17,15,0%,7,0,2.5%,3-5,20%,20%,20%,20%,20%,30%,20%,古董商，擅长寻找财宝和辅助
Arbalest,27,10,0%,6,0,7.5%,4-8,30%,30%,30%,30%,30%,30%,30%,弩手，远程输出和治疗专家
Houndmaster,25,15,0%,7,0,5.0%,4-7,40%,40%,30%,30%,30%,30%,40%,驯犬者，与猎犬配合作战
Leper,35,5,0%,4,0,5.0%,8-16,60%,60%,10%,10%,20%,30%,10%,麻风病人，重装高伤害战士
Man-at-Arms,31,10,0%,5,0,5.0%,5-10,45%,45%,30%,40%,30%,40%,20%,重装战士，擅长防御和增益
Occultist,23,15,0%,7,0,5.0%,4-7,30%,30%,40%,30%,30%,40%,20%,神秘学者，擅长诅咒和治疗
Vestal,24,0,0%,5,0,2.5%,4-8,30%,30%,20%,30%,30%,30%,10%,圣女，主要治疗者和神圣伤害
