# 英雄技能数据表
# Hero(英雄), Skill Name(技能名称), Level(等级), Type(类型), Attack Mod(命中修正), Damage Mod(伤害修正), Crit Mod(暴击修正), Launch Pos(发动位置), Target Pos(目标位置), Effects(效果), Notes(说明)
Hero,Skill Name,Level,Type,Attack Mod,Damage Mod,Crit Mod,Launch Pos,Target Pos,Effects,Notes
Crusader,Smite,0,melee,85%,0%,0%,1-2,1-2,Unholy Killer 1,
Crusader,Smite,1,melee,90%,0%,1%,1-2,1-2,Unholy Killer 2,
Crusader,Smite,2,melee,95%,0%,2%,1-2,1-2,Unholy Killer 3,
Crusader,Smite,3,melee,100%,0%,3%,1-2,1-2,Unholy Killer 4,
Crusader,Smite,4,melee,105%,0%,4%,1-2,1-2,Unholy Killer 5,
Crusader,Zealous Accusation,0,ranged,85%,-40%,-4%,1-2,1-2,None,
Crusader,Zealous Accusation,1,ranged,90%,-40%,-3%,1-2,1-2,None,
Crusader,Zealous Accusation,2,ranged,95%,-40%,-2%,1-2,1-2,None,
Crusader,Zealous Accusation,3,ranged,100%,-40%,-1%,1-2,1-2,None,
Crusader,Zealous Accusation,4,ranged,105%,-40%,0%,1-2,1-2,None,
Crusader,Stunning Blow,0,melee,90%,-50%,0%,1-2,1-2,Stun 1,
Crusader,Stunning Blow,1,melee,95%,-50%,1%,1-2,1-2,Stun 2,
Crusader,Stunning Blow,2,melee,100%,-50%,2%,1-2,1-2,Stun 3,
Crusader,Stunning Blow,3,melee,105%,-50%,3%,1-2,1-2,Stun 4,
Crusader,Stunning Blow,4,melee,110%,-50%,4%,1-2,1-2,Stun 5,
Crusader,Bulwark of Faith,0,melee,0%,0%,0%,1-2,self,Crusader Bulwark 1,
Crusader,Bulwark of Faith,1,melee,0%,0%,0%,1-2,self,Crusader Bulwark 2,
Crusader,Bulwark of Faith,2,melee,0%,0%,0%,1-2,self,Crusader Bulwark 3,
Crusader,Bulwark of Faith,3,melee,0%,0%,0%,1-2,self,Crusader Bulwark 4,
Crusader,Bulwark of Faith,4,melee,0%,0%,0%,1-2,self,Crusader Bulwark 5,
Crusader,Battle Heal,0,heal,-,-,-,1-4,1-4,Heal 2-3,
Crusader,Battle Heal,1,heal,-,-,-,1-4,1-4,Heal 3-3,
Crusader,Battle Heal,2,heal,-,-,-,1-4,1-4,Heal 3-4,
Crusader,Battle Heal,3,heal,-,-,-,1-4,1-4,Heal 4-5,
Crusader,Battle Heal,4,heal,-,-,-,1-4,1-4,Heal 5-6,
Crusader,Holy Lance,0,melee,85%,0%,6.5%,3-4,2-4,Unholy Killer 1,
Crusader,Holy Lance,1,melee,90%,0%,7.5%,3-4,2-4,Unholy Killer 2,
Crusader,Holy Lance,2,melee,95%,0%,8.5%,3-4,2-4,Unholy Killer 3,
Crusader,Holy Lance,3,melee,100%,0%,9.5%,3-4,2-4,Unholy Killer 4,
Crusader,Holy Lance,4,melee,105%,0%,10.5%,3-4,2-4,Unholy Killer 5,
Crusader,Inspiring Cry,0,heal,-,-,-,1-4,1-4,Heal 1-1 Stress/Light,
Crusader,Inspiring Cry,1,heal,-,-,-,1-4,1-4,Heal 1-1 Stress/Light,
Crusader,Inspiring Cry,2,heal,-,-,-,1-4,1-4,Heal 1-2 Stress/Light,
Crusader,Inspiring Cry,3,heal,-,-,-,1-4,1-4,Heal 1-2 Stress/Light,
Crusader,Inspiring Cry,4,heal,-,-,-,1-4,1-4,Heal 2-2 Stress/Light,
Hellion,Wicked Hack,0,melee,85%,0%,4%,2-1,1-2,None,
Hellion,Wicked Hack,1,melee,90%,0%,5%,2-1,1-2,None,
Hellion,Wicked Hack,2,melee,95%,0%,6%,2-1,1-2,None,
Hellion,Wicked Hack,3,melee,100%,0%,7%,2-1,1-2,None,
Hellion,Wicked Hack,4,melee,105%,0%,8%,2-1,1-2,None,
Hellion,Iron Swan,0,melee,85%,0%,5%,1,4,None,
Hellion,Iron Swan,1,melee,90%,0%,6%,1,4,None,
Hellion,Iron Swan,2,melee,95%,0%,7%,1,4,None,
Hellion,Iron Swan,3,melee,100%,0%,8%,1,4,None,
Hellion,Iron Swan,4,melee,105%,0%,9%,1,4,None,
Hellion,Barbaric YAWP!,0,melee,95%,-100%,0%,2-1,1-2,Hero Strong Stun 1/Hellion Exhaust,
Hellion,Barbaric YAWP!,1,melee,100%,-100%,0%,2-1,1-2,Hero Strong Stun 2/Hellion Exhaust,
Hellion,Barbaric YAWP!,2,melee,105%,-100%,0%,2-1,1-2,Hero Strong Stun 3/Hellion Exhaust,
Hellion,Barbaric YAWP!,3,melee,110%,-100%,0%,2-1,1-2,Hero Strong Stun 4/Hellion Exhaust,
Hellion,Barbaric YAWP!,4,melee,115%,-100%,0%,2-1,1-2,Hero Strong Stun 5/Hellion Exhaust,
Hellion,If It Bleeds,0,melee,85%,-35%,0%,3-2-1,2-3,Bleed 1,
Hellion,If It Bleeds,1,melee,90%,-35%,1%,3-2-1,2-3,Bleed 2,
Hellion,If It Bleeds,2,melee,95%,-35%,2%,3-2-1,2-3,Bleed 3,
Hellion,If It Bleeds,3,melee,100%,-35%,3%,3-2-1,2-3,Bleed 4,
Hellion,If It Bleeds,4,melee,105%,-35%,4%,3-2-1,2-3,Bleed 5,
Hellion,Breakthrough,0,melee,85%,-50%,-1%,4-3-2,1-2-3,Hellion Exhaust Sm,
Hellion,Breakthrough,1,melee,90%,-50%,0%,4-3-2,1-2-3,Hellion Exhaust Sm,
Hellion,Breakthrough,2,melee,95%,-50%,1%,4-3-2,1-2-3,Hellion Exhaust Sm,
Hellion,Breakthrough,3,melee,100%,-50%,2%,4-3-2,1-2-3,Hellion Exhaust Sm,
Hellion,Breakthrough,4,melee,105%,-50%,3%,4-3-2,1-2-3,Hellion Exhaust Sm,
Hellion,Adrenaline Rush,0,melee,0%,0%,0%,4-3-2-1,self,Adrenaline 1/HellionHealSelf 1,
Hellion,Adrenaline Rush,1,melee,0%,0%,0%,4-3-2-1,self,Adrenaline 2/HellionHealSelf 2,
Hellion,Adrenaline Rush,2,melee,0%,0%,0%,4-3-2-1,self,Adrenaline 3/HellionHealSelf 3,
Hellion,Adrenaline Rush,3,melee,0%,0%,0%,4-3-2-1,self,Adrenaline 4/HellionHealSelf 4,
Hellion,Adrenaline Rush,4,melee,0%,0%,0%,4-3-2-1,self,Adrenaline 5/HellionHealSelf 5,
Hellion,Bleed Out,0,melee,85%,20%,6%,1,1,Strong Bleed 1/Hellion Exhaust,
Hellion,Bleed Out,1,melee,90%,20%,7%,1,1,Strong Bleed 2/Hellion Exhaust,
Hellion,Bleed Out,2,melee,95%,20%,8%,1,1,Strong Bleed 3/Hellion Exhaust,
Hellion,Bleed Out,3,melee,100%,20%,9%,1,1,Strong Bleed 4/Hellion Exhaust,
Hellion,Bleed Out,4,melee,105%,20%,10%,1,1,Strong Bleed 5/Hellion Exhaust,
Bounty Hunter,Collect Bounty,0,melee,85%,0%,7%,3-2-1,1-2,BH Dmg Marked/Man Killer 1,
Bounty Hunter,Collect Bounty,1,melee,90%,0%,8%,3-2-1,1-2,BH Dmg Marked/Man Killer 2,
Bounty Hunter,Collect Bounty,2,melee,95%,0%,9%,3-2-1,1-2,BH Dmg Marked/Man Killer 3,
Bounty Hunter,Collect Bounty,3,melee,100%,0%,10%,3-2-1,1-2,BH Dmg Marked/Man Killer 4,
Bounty Hunter,Collect Bounty,4,melee,105%,0%,11%,3-2-1,1-2,BH Dmg Marked/Man Killer 5,
Bounty Hunter,Target Tag,0,ranged,100%,-100%,0%,4-3-2-1,1-2-3-4,BH Mark Target/BH Mark Debuff 1/BH Self Speed 1,
Bounty Hunter,Target Tag,1,ranged,105%,-100%,0%,4-3-2-1,1-2-3-4,BH Mark Target/BH Mark Debuff 2/BH Self Speed 2,
Bounty Hunter,Target Tag,2,ranged,110%,-100%,0%,4-3-2-1,1-2-3-4,BH Mark Target/BH Mark Debuff 3/BH Self Speed 3,
Bounty Hunter,Target Tag,3,ranged,115%,-100%,0%,4-3-2-1,1-2-3-4,BH Mark Target/BH Mark Debuff 4/BH Self Speed 4,
Bounty Hunter,Target Tag,4,ranged,120%,-100%,0%,4-3-2-1,1-2-3-4,BH Mark Target/BH Mark Debuff 5/BH Self Speed 5,
Bounty Hunter,Come Hither,0,ranged,90%,-80%,0%,4-3-2-1,3-4,Pull 2A/BH Minor Mark,
Bounty Hunter,Come Hither,1,ranged,95%,-80%,1%,4-3-2-1,3-4,Pull 2B/BH Minor Mark,
Bounty Hunter,Come Hither,2,ranged,100%,-80%,2%,4-3-2-1,3-4,Pull 2C/BH Minor Mark,
Bounty Hunter,Come Hither,3,ranged,105%,-80%,3%,4-3-2-1,3-4,Pull 2D/BH Minor Mark,
Bounty Hunter,Come Hither,4,ranged,110%,-80%,4%,4-3-2-1,3-4,Pull 2E/BH Minor Mark,
Bounty Hunter,Uppercut,0,melee,90%,-67%,0%,2-1,1-2,Push 2A/Stun 1,
Bounty Hunter,Uppercut,1,melee,95%,-67%,1%,2-1,1-2,Push 2B/Stun 2,
Bounty Hunter,Uppercut,2,melee,100%,-67%,2%,2-1,1-2,Push 2C/Stun 3,
Bounty Hunter,Uppercut,3,melee,105%,-67%,3%,2-1,1-2,Push 2D/Stun 4,
Bounty Hunter,Uppercut,4,melee,110%,-67%,4%,2-1,1-2,Push 2E/Stun 5,
Bounty Hunter,Flashbang,0,ranged,95%,-100%,0%,4-3-2,2-3-4,Hero Strong Stun 1/Disorient 1,
Bounty Hunter,Flashbang,1,ranged,100%,-100%,0%,4-3-2,2-3-4,Hero Strong Stun 2/Disorient 2,
Bounty Hunter,Flashbang,2,ranged,105%,-100%,0%,4-3-2,2-3-4,Hero Strong Stun 3/Disorient 3,
Bounty Hunter,Flashbang,3,ranged,110%,-100%,0%,4-3-2,2-3-4,Hero Strong Stun 4/Disorient 4,
Bounty Hunter,Flashbang,4,ranged,115%,-100%,0%,4-3-2,2-3-4,Hero Strong Stun 5/Disorient 5,
Bounty Hunter,Finish Him,0,melee,85%,0%,5%,3-2-1,1-2-3,Stun Killer 1,
Bounty Hunter,Finish Him,1,melee,90%,0%,6%,3-2-1,1-2-3,Stun Killer 2,
Bounty Hunter,Finish Him,2,melee,95%,0%,7%,3-2-1,1-2-3,Stun Killer 3,
Bounty Hunter,Finish Him,3,melee,100%,0%,8%,3-2-1,1-2-3,Stun Killer 4,
Bounty Hunter,Finish Him,4,melee,105%,0%,9%,3-2-1,1-2-3,Stun Killer 5,
Bounty Hunter,Hook and Slice,0,ranged,90%,-95%,5%,2-3-4,3-4,Bleed 1/Caltrops SPD Debuff 1/Caltrops Prey Debuff 1,
Bounty Hunter,Hook and Slice,1,ranged,95%,-95%,6%,2-3-4,3-4,Bleed 2/Caltrops SPD Debuff 2/Caltrops Prey Debuff 2,
Bounty Hunter,Hook and Slice,2,ranged,100%,-95%,7%,2-3-4,3-4,Bleed 3/Caltrops SPD Debuff 3/Caltrops Prey Debuff 3,
Bounty Hunter,Hook and Slice,3,ranged,105%,-95%,8%,2-3-4,3-4,Bleed 4/Caltrops SPD Debuff 4/Caltrops Prey Debuff 4,
Bounty Hunter,Hook and Slice,4,ranged,110%,-95%,9%,2-3-4,3-4,Bleed 5/Caltrops SPD Debuff 5/Caltrops Prey Debuff 5,
Grave Robber,Pick,0,melee,90%,-15%,1%,3-2-1,1-2,ignore_protection true,无视护甲的近战攻击,
Grave Robber,Pick,1,melee,95%,-15%,2%,3-2-1,1-2,ignore_protection true,无视护甲的近战攻击,
Grave Robber,Pick,2,melee,100%,-15%,3%,3-2-1,1-2,ignore_protection true,无视护甲的近战攻击,
Grave Robber,Pick,3,melee,105%,-15%,4%,3-2-1,1-2,ignore_protection true,无视护甲的近战攻击,
Grave Robber,Pick,4,melee,110%,-15%,5%,3-2-1,1-2,ignore_protection true,无视护甲的近战攻击,
Grave Robber,Lunge,0,melee,95%,40%,8%,4-3,1-2-3,Poison Killer 1/Move 0 2,突进攻击，对中毒目标伤害提升,
Grave Robber,Lunge,1,melee,100%,40%,9%,4-3,1-2-3,Poison Killer 2/Move 0 2,突进攻击，对中毒目标伤害提升,
Grave Robber,Lunge,2,melee,105%,40%,10%,4-3,1-2-3,Poison Killer 3/Move 0 2,突进攻击，对中毒目标伤害提升,
Grave Robber,Lunge,3,melee,110%,40%,11%,4-3,1-2-3,Poison Killer 4/Move 0 2,突进攻击，对中毒目标伤害提升,
Grave Robber,Lunge,4,melee,115%,40%,12%,4-3,1-2-3,Poison Killer 5/Move 0 2,突进攻击，对中毒目标伤害提升,
Grave Robber,Flashing Daggers,0,ranged,90%,-33%,-5%,4-3-2,2-3,GR Bleed Debuff 1,群体远程攻击，降低目标流血抗性,
Grave Robber,Flashing Daggers,1,ranged,95%,-33%,-4%,4-3-2,2-3,GR Bleed Debuff 2,群体远程攻击，降低目标流血抗性,
Grave Robber,Flashing Daggers,2,ranged,100%,-33%,-3%,4-3-2,2-3,GR Bleed Debuff 3,群体远程攻击，降低目标流血抗性,
Grave Robber,Flashing Daggers,3,ranged,105%,-33%,-2%,4-3-2,2-3,GR Bleed Debuff 4,群体远程攻击，降低目标流血抗性,
Grave Robber,Flashing Daggers,4,ranged,110%,-33%,-1%,4-3-2,2-3,GR Bleed Debuff 5,群体远程攻击，降低目标流血抗性,
Grave Robber,Shadow Fade,0,melee,95%,-100%,0%,2-1,-,stealth_self/GR Fade Attack 1/GR Dodge 1,进入隐身状态，提升闪避和下次攻击伤害,
Grave Robber,Shadow Fade,1,melee,100%,-100%,0%,2-1,-,stealth_self/GR Fade Attack 2/GR Dodge 2,进入隐身状态，提升闪避和下次攻击伤害,
Grave Robber,Shadow Fade,2,melee,105%,-100%,0%,2-1,-,stealth_self/GR Fade Attack 3/GR Dodge 3,进入隐身状态，提升闪避和下次攻击伤害,
Grave Robber,Shadow Fade,3,melee,110%,-100%,0%,2-1,-,stealth_self/GR Fade Attack 4/GR Dodge 4,进入隐身状态，提升闪避和下次攻击伤害,
Grave Robber,Shadow Fade,4,melee,115%,-100%,0%,2-1,-,stealth_self/GR Fade Attack 5/GR Dodge 5,进入隐身状态，提升闪避和下次攻击伤害,
Grave Robber,Thrown Dagger,0,ranged,90%,-10%,8%,4-3-2,2-3-4,GR Acc Buff 1/GR Dagger Dmg Marked 1/Poison Killer 1,远程投掷，命中提升，对标记和中毒目标伤害提升,
Grave Robber,Thrown Dagger,1,ranged,95%,-10%,9%,4-3-2,2-3-4,GR Acc Buff 2/GR Dagger Dmg Marked 2/Poison Killer 2,远程投掷，命中提升，对标记和中毒目标伤害提升,
Grave Robber,Thrown Dagger,2,ranged,100%,-10%,10%,4-3-2,2-3-4,GR Acc Buff 3/GR Dagger Dmg Marked 3/Poison Killer 3,远程投掷，命中提升，对标记和中毒目标伤害提升,
Grave Robber,Thrown Dagger,3,ranged,105%,-10%,11%,4-3-2,2-3-4,GR Acc Buff 4/GR Dagger Dmg Marked 4/Poison Killer 4,远程投掷，命中提升，对标记和中毒目标伤害提升,
Grave Robber,Thrown Dagger,4,ranged,110%,-10%,12%,4-3-2,2-3-4,GR Acc Buff 5/GR Dagger Dmg Marked 5/Poison Killer 5,远程投掷，命中提升，对标记和中毒目标伤害提升,
Grave Robber,Poison Dart,0,ranged,95%,-60%,7.5%,4-3-2,1-2-3-4,GR Blight 1/GR Blight Debuff 1,毒镖攻击，造成中毒效果并降低目标毒抗,
Grave Robber,Poison Dart,1,ranged,100%,-60%,8.5%,4-3-2,1-2-3-4,GR Blight 2/GR Blight Debuff 2,毒镖攻击，造成中毒效果并降低目标毒抗,
Grave Robber,Poison Dart,2,ranged,105%,-60%,9.5%,4-3-2,1-2-3-4,GR Blight 3/GR Blight Debuff 3,毒镖攻击，造成中毒效果并降低目标毒抗,
Grave Robber,Poison Dart,3,ranged,110%,-60%,10.5%,4-3-2,1-2-3-4,GR Blight 4/GR Blight Debuff 4,毒镖攻击，造成中毒效果并降低目标毒抗,
Grave Robber,Poison Dart,4,ranged,115%,-60%,11.5%,4-3-2,1-2-3-4,GR Blight 5/GR Blight Debuff 5,毒镖攻击，造成中毒效果并降低目标毒抗,
Grave Robber,Toxin Trickery,0,melee,0%,0%,0%,4-3-2-1,-,Shadow Blood 1/GR Self Speed 1,使用毒素提升速度和闪避,
